NAME,STATE,SECTOR,PURPOSE,TAX_STATUS,MOODYS,SP,FITCH,SOURCE_OF_REPAYMENT,MONEY_TYPE,ENHANCEMENT,TYPICAL_SIZE
Maryland Health And Higher Educational Facilities Authority Medstar Health Issue,MD,Health Care,HLT,Tax-Exempt,A2,A,NR,,New Money,,724770000
"Massachusetts Development Finance Agency Revenue Bonds Boston University Issue, Series 2026B",MA,Education,HIG,Tax-Exempt,Aa3,AA-,,,New Money,,363060000
"Massachusetts Educational Financing Authority Education Loan Revenue Bonds, Issue N, Series 2026 Senior Series 2026A (Federally Taxable) Subordinate Series 2026B (Amt)",MA,Education,STL,Various,,Various,,,New Money,,388165000
Massachusetts Housing Finance Agency Housing Bonds 2026 Series A-1 (Non-Amt) (Sustainability Bonds) 2026 Series A-2 (Non-Amt) (Sustainability Bonds),MA,Housing,HSG,Tax-Exempt,Aa2,AA+,,,New Money,,102990000
Massachusetts Port Authority Revenue Bonds Series 2026-A (Non-Amt) Series 2026-B (Amt),MA,Transportation,POR,Various,Aa2,AA,AA,,New Money,,812005000
"Massachusetts Water Resources Authority General Revenue Bonds, 2026 Series C (Green Bonds) General Revenue Refunding Bonds, 2026 Series D (Green Bonds)",MA,Water & Sewer,SWR,Tax-Exempt,Aa1,AA+,AA+,,New Money,,584945000
National Finance Authority Affordable Housing Certificates 2026-1 Class A-1 2026-1 Class A-2 (Social Certificates),NH,Housing,HSG,Tax-Exempt,,Various,,,New Money,,194202000
National Finance Authority Municipal Certificates Series 2026-1 Class A-1 Series 2026-1 Class A-2 Series 2026-1 Class B (Subordinate),NH,Housing,HSG,Tax-Exempt,,Various,,,New Money,,394424072
"National Finance Authority Municipal Certificates Series 2026-2 $290,907,000* Class A-1 $47,678,000* Class A-2 $6,910,663* Class B (Subordinate)",NH,Housing,HSG,Tax-Exempt,NR,Various,NR,,New Money,,345495633
"Nebraska Public Power District General Revenue Bonds 2026 Series A, B And C",NE,Power,PWR,Various,A1,A,A+,,New Money,,830950000
New York City Housing Development Corporation Multi-Family Housing Revenue Bonds 2026 Series B (Non-Amt) (Sustainable Development Bonds) 2026 Series C (Non-Amt) (Sustainable Development Bonds),NY,Housing,HSG,Tax-Exempt,Aa2,AA+,,,New Money,,197330000
New York City Housing Development Corporation Multi-Family Housing Revenue Bonds 2026 Series E-1-A (Non-Amt) (Sustainable Development Bonds) 2026 Series E-1-B (Non-Amt) (Sustainable Development Bonds) 2026 Series E-2 (Non-Amt) (Sustainable Development Bond,NY,Housing,HSG,Tax-Exempt,Aa2,AA+,NR,,New Money,,255045000
New York City Municipal Water Finance Authority Water And Sewer System Second General Resolution Revenue Bonds Fiscal 2026 Series Dd Fiscal 2022 Series Dd,NY,,WTR,Tax-Exempt,Aa1,AA+,AA+,,Refunding,,991105000
New York City Transitional Finance Authority Future Tax Secured Subordinate Bonds Fiscal 2026 Series G Subseries G-1 (Tax-Exempt) And Subseries G-2 (Taxable) Fiscal 2026 Series H (Tax-Exempt) Fiscal 2026 Series I (Tax-Exempt),NY,Various,PIT,Various,Aa1,AAA,AAA,,Refunding,,2113200000
New York State Housing Finance Agency Affordable Housing Revenue Bonds 2026 Series B-1 (Sustainability Bonds) 2026 Series B-2 (Sustainability Bonds),NY,Housing,MFH,Tax-Exempt,Aa2,NR,NR,,New Money,,235145000
New York State Housing Finance Agency Affordable Housing Revenue Bonds 2026 Series C-1 (Sustainability Bonds) 2026 Series C-2 (Sustainability Bonds),NY,Housing,MFH,Tax-Exempt,Aa2,NR,NR,,New Money,,87485000
"New York State Housing Finance Agency Affordable Housing Revenue Bonds, 2026 Series D-1 (Sustainability Bonds), 2026 Series D-2 (Sustainability Bonds), 2026 Series E (Sustainability Bonds), 2026 Series F Refunding Bonds (Social Bonds)",NY,Housing,HSG,Tax-Exempt,Aa2,NR,NR,,New Money,,509620000
Nyc Trans Fin Auth,NY,Transportation,TRA,Tax-Exempt,,,,,New Money,,11000000000
"Orchard School District (Santa Clara County, California) Election Of 2001 General Obligation Bonds, Series D Election Of 2024 General Obligation Bonds, Series A 2026 General Obligation Refunding Bonds",CA,General Purposes,GEN,Tax-Exempt,Aa3,,,,New Money,,29115000
"Pasco County, Florida Solid Waste Disposal And Resource Recovery System Revenue Bonds Series 2026A (Amt) Series 2026B (Amt)",FL,Industrial Development,SOL,AMT,NR,AA+,NR,,New Money,,92100000
Philadelphia School District General Obligation Bonds Series 2026,PA,Education,SCH,Tax-Exempt,Aa3,,AA-,,New Money,Pennsylvania State Aid Intercept Program,801385000
Public Facilities Financing Authority Of The City Of San Diego Subordinated Sewer Revenue Bonds Series 2026A Series 2026B,CA,Water & Sewer,SWR,Tax-Exempt,,AA,AA,,New Money,,495280000
Regents Of The University Of California General Revenue Bonds 2026 Series Ce And Cf,CA,Education,EDU,Tax-Exempt,Aa2,AA,AA,,New Money,,1977680000
"Republic Services, Inc. Project Quarterly Remarketings",CA,Miscellaneous,MIS,AMT,,A-,,,Remarketing,,165000000
Rhode Island Housing And Mortgage Finance Corporation Homeownership Opportunity Bonds Series 88-A (Non-Amt) (Social Bonds) Series 88-B (Amt) (Social Bonds),RI,Housing,HSG,Various,Aa1,AA+,NR,,New Money,,124645000
"Rhode Island Infrastructure Bank State Revolving Fund Revenue Bonds, Series 2026A (Master Trust) (Green Bonds) State Revolving Fund Refunding Revenue Bonds, Series 2026B (Master Trust)",RI,General Purposes,REF,Tax-Exempt,NR,AAA,AAA,,Refunding,,184495000
Rhode Island Student Loan Authority Education Loan Revenue Bonds 2026 Senior Sereis A (Amt) Senior Series 2026-1 (Federally Taxable),RI,Education,STL,Various,,AA,,,New Money,,149335000
"School Board Of Manatee County, Florida Certificates Of Participation Series 2026A Refunding Series 2026B",FL,General Purposes,COP,Tax-Exempt,NR,A+,AA-,,New Money,,227015000
Series 2025 1 A Bond Offering,NY,,General Purpose,Tax-Exempt,B++,A+++,A++,Personal Income Tax Revenue,New Money,State Aid,150000000
South Carolina Public Service Authority Revenue Obligations,SC,Power,PWR,Tax-Exempt,A3,A-,A-,,New Money,,354025000
State Of California General Obligation Bonds,CA,Public Buildings,BLD,Tax-Exempt,,,,,New Money,,2631480000
State Of California General Obligation Bonds Various Purpose General Obligation Bonds Various Purpose General Obligation Refunding Bonds,CA,General Purposes,GEN,Tax-Exempt,Aa2,AA-,AA,,New Money,,2408780000
State Of Connecticut General Obligation Bonds General Obligation Bonds (2025 Series A) General Obligation Refunding Bonds (2025 Series B),CT,General Purposes,GGP,Tax-Exempt,,,,,New Money,,1047835000
State Of Hawaii Highway Revenue Bonds Series 2026A Series 2026B,HI,Transportation,HWY,Tax-Exempt,Aa2,AAA,NR,,New Money,,438035000
State Of Hawaii Taxable General Obligation Bonds Of 2026 Series Go Series Gp Series Gq,HI,General Purposes,GEN,Taxable,Aa2,AA+,AA,,New Money,,1500000000
State Of New York Mortgage Agency Homeowner Mortgage Revenue Bonds (Social Bonds) Series 274 (Non-Amt) Series 275 (Amt),NY,Housing,HSG,Various,Aa1,,,,New Money,,107405000
"State Of Oregon General Obligation Bonds, Series 2026",OR,General Purposes,GEN,Tax-Exempt,Aa1,AA+,AA+,,New Money,,372860000
State Of Wisconsin Transportation Revenue Bonds 2026 Series A Transportation Revenue Refunding Bonds 2026 Series 1,WI,Transportation,TRA,Tax-Exempt,NR,AAA,NR,,New Money,,131740000
"The City Of New York General Obligation Bonds Fiscal 2026 Series F, Subseries F-1 (Tax-Exempt) Fiscal 2026 Series G (Tax-Exempt) Fiscal 2026 Series 1 (Tax-Exempt Reoffering)",NY,General Purposes,GEN,Tax-Exempt,Aa2,AA,AA,,New Money,,1878040000
"The City Of New York Taxable General Obligation Bonds, Fiscal 2026 Series H $2,250,000,000* Subseries H-1 $50,000,000* Subseries H-6",NY,General Purposes,GGP,Taxable,Aa2,AA,AA,,New Money,,2300000000
"The Health, Educational And Housing Facility Board Of The County Of Shelby, Tn (Baptist Memorial Health Care) Health Care Revenue Refunding And Imrovement Bonds Series 2026A (Fixed Rate Mode) Health Care Revenue Refunding Bonds Series 2026Ab(Fixed Rate M",TN,Health Care,HLT,Tax-Exempt,NR,A-,BBB+,,Refunding,,198595000
The Regents Of The University Of California General Revenue Bonds 2026 Series Cg 2026 Series Ch,CA,Education,HIG,Tax-Exempt,Aa2,AA,AA,,New Money,,1028130000
"Triborough Bridge And Tunnel Authority (Mta Bridges And Tunnels) General Revenue Bonds, Series 2026A",NY,Transportation,TRA,Tax-Exempt,NR,AA-,AA-,,New Money,,895550000
Trinity Health Credit Group Quarterly Remarketings,OH,Miscellaneous,MIS,Tax-Exempt,Aa3,AA-,AA-,,Remarketing,,132980000
Utah Housing Corporation Single Family Mortgage Bonds 2026 Series A (Non-Amt) 2026 Series B (Amt),UT,Housing,HSG,Various,Aa2,,,,New Money,,94485000
Virginia Housing Development Authority Commonwealth Mortgage Bonds 2026 Series H Non-Amt 2026 Series J Non-Amt,VA,Housing,HSG,Tax-Exempt,Aaa,AAA,NR,,New Money,,356340000
"Vista Unified School District (San Diego County, California) General Obligation Bonds, 2018 Election, 2026 Series C 2026 Refunding Bonds",CA,General Purposes,GEN,Tax-Exempt,,AA,,,New Money,Assured Guaranty Inc,57515000
"Waste Management, Inc. Project Put Bond Remarketings",CA,Miscellaneous,MIS,AMT,,A-,,,Remarketing,,115000000
"Waste Management, Inc. Quarterly Remarketings",TN,Miscellaneous,MIS,AMT,,A-,,,Remarketing,,173000000
