TEXT,WEIGHT
"NONCALLABLE , THE 2026 BONDS ARE SUBJECT TO SPECIAL REDEMPTION PRIOR TO MATURITY FROM UNEXPENDED PROCEEDS, PREPAYMENTS AND EXCESS REVENUES AS MORE FULLY DESCRIBED ON PAGES 8-12 OF THE PRELIMINARY OFFICIAL STATEMENT.",14
"During any 3-Month Term Interest Rate Period, the Bonds are not subject to optional redemption.",12
"CALLABLE 06/15/2036 @100.0, **NOTE MAKE WHOLE CALL MATURITIES IN 2037 & 2038** MAKE-WHOLE CALL: Bonds maturing on or prior to June 15, 2037* and the 2038 MWC maturity are subject to a make whole call at MMD. Please refer to the POS for more detailed information.",12
CALLABLE 01/01/2041 @100.0,11
"CALLABLE 08/01/2036 @100.0, MAKE-WHOLE CALL: BONDS MATURING ON OR PRIOR TO 08/01/2036 AT THE GREATER OF: (1) ONE HUNDRED PERCENT (100%) OF THE AMORTIZED VALUE OR (2) THE GREATER OF THE (A) APPLICABLE TAX-EXEMPT BOND RATE MINUS 10 BASIS POINTS OR (B) ZERO BASIS POINTS. PLEASE REFER TO THE POS FOR MORE DETAILED INFORMATION. THE BONDS ARE BEING ISSUED AS MULTI-MODAL BONDS IN THE FIXED RATE MODE. THE CITY MAY CAUSE A MANDATORY TENDER ON ANY OPTIONAL REDEMPTION DATE. THE BONDS WILL REMAIN IN FIXED RATE MODE AT LEAST UNTIL THE OPTIONAL REDEMPTION OR MANDATORY TENDER DATE.",9
"CALLABLE 11/01/2033 @100.0, Special Redemption: Subject to Special Redemption with Unexpended Proceeds and Prepayments, Excess Revenues and Debt Service Reserve Fund Reductions, as more fully described in the Preliminary Official Statement, pages I-8 - I-11.",9
"EXCLUDING ANY EXTRAORDINARY EVENTS, THE BONDS WILL NOT BE SUBJECT TO OPTIONAL REDEMPTION WHILE IN THE TERM INTEREST RATE PERIOD OF THREE MONTHS UNTIL THE NEXT CONVERSION DATE.",8
CALLABLE 03/15/2032 @100.0,7
"The Series 88 Bonds are subject to special redemption, at the option of RIHousing, as further described on page 12 of the POS. The Series 88 Bonds are also subject to mandatory redemption to comply with the 10 Year Rule as further described on page 13 of the POS.",6
"MAKEWHOLECALL , BONDS ARE SUBJECT TO MWC @ T + 40 BPS",6
"Bonds in a Term Rate Mode are subject to redemption, in whole or in part, on their individual Mandatory Purchase Dates, at the option of Trinity Health, at a Redemption Price without premium.",4
"CALLABLE 05/01/2028 @100.0, Special Redemption: The 2026 Series B-2 Bonds are subject to special redemption or Special Mandatory Tender as more fully described on page 22 of the POS.",4
MAKE-WHOLE CALL: AT THE GREATER OF: (1) ONE HUNDRED PERCENT (100%) OF THE AMORTIZED VALUE OR (2) THE GREATER OF THE (A) APPLICABLE TAX-EXEMPT BOND RATE MINUS 10 BASIS POINTS OR (B) ZERO BASIS POINTS. PLEASE REFER TO THE PRELIMINARY REOFFERING CIRCULAR FOR MORE DETAILED INFORMATION. THE BONDS ARE BEING ISSUED AS MULTI-MODAL BONDS IN THE FIXED RATE MODE.,4
"MAKEWHOLECALL , SUBJECT TO MAKE-WHOLE CALL AT T + 5 BPS.",4
MAKEWHOLECALL,4
On any Business Day beginning 90 days prior to the Purchase Date at 100% of the principal amount being redeemed (for a Term Interest Rate Period between 1 to 10 years),4
Callable on 9/1/2036 at 100% of Accreted Value,4
"NONCALLABLE , See POS for loan yield maintenance information. No additional issuer optional call.",3
See POS for loan yield maintenance information. No additional issuer optional call.,3
"CALLABLE 05/01/2033 @100.0, The 2026 Series E-1-B Bonds are also subject to Special Optional Redemption or Special Mandatory Tender at the Option of the Corporation, as further described on pages 15-16 of the POS.",3
The New Series Bonds are subject to special redemption as further described in the Preliminary Official Statement beginning on Page 14.,3
Special Redemption: The 2026 Series D-2 Bonds are subject to special redemption or special mandatory tender as more fully described on pages 34-35 of the POS.,3
CALLABLE 06/01/2035 @100.0,3
CALLABLE 06/15/2033 @101.0,3
08/15/2033 Put Optional call in 02/15/2033 @ 100.00 Extraordinary Optional Redemption: The Series 2026B Bonds are subject to mandatory redemption as further described on pages 13-16 of the POS.,2
"CALLABLE 02/01/2030 @100.0, Subject to Special and Optional Redemption as described on pages 14-17 of the POS. The payment of the Purchase Price of each of the 2026 Series B/C Bonds subject to mandatory tender for purchase on the Initial Reset Date will be secured solely by a direct pay obligation of Fannie Mae under the applicable Fannie Mae Credit Enhancement Instrument. Please see pages 13-14 of the POS for more information.",2
"CALLABLE 03/01/2035 @100.0, Please see the section entitled ""Distributions"" beginning on page 7 the Preliminary Official Statement for a description of the application of Principal and Interest received on the Portfolio Assets.",2
"MAKEWHOLECALL , Make-Whole Redemption: UST +5 bps Please refer to the POS for further information on the Make-Whole call redemption.",2
"CALLABLE 02/01/2036 @100.0, Make-whole call at any time prior to 02/01/2036 @ T + 15 bps. Please refer to the Preliminary Official Statement for further information on make-whole call redemption. The Bonds are being issued as multi-modal bonds in fixed rate mode.",2
"CALLABLE 04/01/2035 @100.0, Please see the section entitled ""Distributions"" beginning on page 8 the Preliminary Official Statement for a description of the application of Principal and Interest received on the Portfolio Assets.",2
Non-Callable during the Term Interest Rate Period.,2
On any Business Day beginning 90 days prior to a Mandatory Tender Date.,2
On any Business Day beginning 90 days prior to the Purchase Date at 100% of the principal amount being redeemed (for a Term Interest Period between 1 to 10 years),2
08/15/2036 Put Optional call in 02/15/2036 @ 100.00 Extraordinary Optional Redemption: The Series 2026B Bonds are subject to mandatory redemption as further described on pages 13-16 of the POS.,1
"CALLABLE 01/01/2031 @100.0, RATE UPON FAILURE TO PAY PURCHASE PRICE ON PURCHASE DATE: 0 - 90 DAYS: 6.00% 91 DAYS AND THEREAFTER: 8.00%",1
"NONCALLABLE , Subject to special redemption from Unexpended Proceeds, Loan Repayments and Prepayments and Excess Revenues, and Cross-Calls and Recycling, as detailed on pages I-4 through I-6.",1
"Optional Redemption: Subject to redemption from Eligible Funds at any time on or after 01/01/2029 at par. At all times, the Bonds will be secured by Eligible Investments and Eligible Funds sufficient to pay all of the interest when due and principal of the Bonds at maturity or redemption. See Appendix B, B-3 - B-4 for definition of Eligible Investments and Eligible Funds.",1
